ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
244	1	3	1	0.000000	1127.000000	356.000000	0.000000	0.000000	0	722	0
245	1	1	1	0.000000	137.000000	137.000000	0.000000	0.000000	0	80	0
246	1	1	2	0.000000	164.000000	163.000000	0.000000	0.000000	0	100	0
247	53	1	1	0.000000	21.396226	16.207547	0.000000	0.000000	0	31	0
248	1	1	3	0.000000	176.000000	27.000000	0.000000	0.000000	0	168	0
249	3	1	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	16	0
250	5	1	1	0.000000	15.600000	14.000000	0.000000	0.000000	0	18	0
251	1	1	1	0.000000	24.000000	14.000000	0.000000	0.000000	0	12	0
252	4	1	2	0.000000	30.250000	12.000000	0.000000	0.000000	0	22	0
253	39	1	2	0.000000	33.282051	11.897436	0.000000	0.000000	0	37	0
254	6	1	1	0.000000	39.833333	39.833333	0.000000	0.000000	0	22	0
255	20	1	1	0.000000	24.500000	23.050000	0.000000	0.000000	0	19	0
256	1	1	2	0.000000	120.000000	23.000000	0.000000	0.000000	0	785	0
257	63	1	1	0.000000	19.809524	9.793651	0.000000	0.000000	0	0	0
258	2	3	1	0.000000	347.000000	57.000000	0.000000	0.000000	0	77	0
259	11	1	1	0.000000	20.545455	17.181818	0.000000	0.000000	0	32	0
260	1	2	1	0.000000	2303.000000	276.000000	0.000000	0.000000	0	2252	0
261	1	1	1	0.000000	398.000000	271.000000	0.000000	0.000000	0	2167	0
262	11	1	1	0.000000	19.727273	17.363636	0.000000	0.000000	0	21	0
263	1	1	1	0.000000	1668.000000	30.000000	0.000000	0.000000	0	1292	0
264	24	1	1	0.000000	12.250000	9.333333	0.000000	0.000000	0	974	0
265	6	2	2	0.000000	98.500000	29.833333	0.000000	0.000000	0	101	0
266	1	1	2	0.000000	59.000000	25.000000	0.000000	0.000000	0	40	0
267	2	1	2	0.000000	78.500000	41.000000	0.000000	0.000000	0	46	0
268	0	1	3	Inf	Inf	Inf	Inf	Inf	0	934	0
269	6	1	2	0.000000	484.500000	41.500000	0.000000	0.000000	0	964	0
270	4	1	1	0.000000	32.000000	32.000000	0.000000	0.000000	0	26	0
271	23	1	1	0.000000	19.521739	13.000000	0.000000	0.000000	0	26	0
272	4	1	1	0.000000	10.500000	10.500000	0.000000	0.000000	0	12	0
273	1	2	2	0.000000	25.000000	25.000000	0.000000	0.000000	0	25	0
274	8	2	1	0.000000	10.750000	10.750000	0.000000	0.000000	0	12	0
275	10	1	1	0.000000	10.600000	10.600000	0.000000	0.000000	0	12	0
276	6	5	1	0.000000	246.833333	66.666667	0.000000	0.000000	0	256	0
277	43	1	1	0.000000	11.906977	10.116279	0.000000	0.000000	0	10	0
278	1	3	1	0.000000	69.000000	68.000000	0.000000	0.000000	0	68	0
279	4	1	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	13	0
280	5	1	1	0.000000	13.600000	13.600000	0.000000	0.000000	0	15	0
281	91	2	1	0.000000	32.318681	19.747253	0.000000	0.000000	0	52	0
282	9	1	1	0.000000	9.111111	8.111111	0.000000	0.000000	0	9	0
283	14	1	1	0.000000	10.428571	9.642857	0.000000	0.000000	0	16	0
284	4	1	1	0.000000	65.750000	62.250000	0.000000	0.000000	0	38	0
285	1	1	3	0.000000	1379.000000	71.000000	0.000000	0.000000	0	814	0
286	1	10	2	0.000000	1451.000000	74.000000	0.000000	0.000000	0	862	0
287	11	1	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	7	0
288	262	0	0	0.000000	52.190840	43.904580	0.000000	0.000000	0	68	0
